population,percentage,life expectancy,income,group
2491,4.2557189961,84.809664871,49297.0,Hispanic
46873,80.07961321,78.260937658,69102.0,White
1951,14.017818652,70.668627324,37826.0,AIAN
1171,8.4135651674,,65917.0,Asian
132,0.9484121282,,50000.0,Black
804,5.7766920535,,61042.0,Hispanic
8793,63.177180629,80.364381266,77806.0,White
1710,12.813787936,72.913646515,51169.0,AIAN
2968,22.240539528,92.140725598,71667.0,Asian
137,1.0266017235,,,Black
1179,8.8347695766,,92740.0,Hispanic
6554,49.112026976,81.018195996,88482.0,White
7658,92.231723473,,34406.0,AIAN
41,0.4937974226,,,Asian
34,0.4094905456,,,Black
214,2.5773816693,,,Hispanic
292,3.5168011562,,104167.0,White
976,61.49968494,,36771.0,AIAN
50,3.1505986137,,,Asian
16,1.0081915564,,,Black
56,3.5286704474,,,Hispanic
354,22.306238185,,81250.0,White
7385,6.862745098,74.38993326,59620.0,AIAN
1884,1.7507666574,74.488153689,62750.0,Asian
1233,1.1458042933,82.469648534,61186.0,Black
5446,5.0608679491,82.285648896,81571.0,Hispanic
84961,78.952699563,79.801274997,76832.0,White
7554,75.479616307,,44447.0,AIAN
152,1.518784972,,,Asian
77,0.7693844924,,,Black
251,2.5079936051,,,Hispanic
1494,14.928057554,,99333.0,White
5210,52.775526742,,59554.0,AIAN
599,6.0676661264,,116875.0,Asian
144,1.4586709887,,99671.0,Black
424,4.2949756888,,93125.0,Hispanic
3060,30.996758509,,116500.0,White
6082,79.285621171,,48971.0,AIAN
63,0.8212749316,,127917.0,Asian
82,1.068961022,,,Black
290,3.7804719072,,,Hispanic
835,10.885151871,,119868.0,White
354,10.99037566,,33068.0,AIAN
105,3.2598571872,,43558.0,Asian
69,2.1421918659,,23750.0,Black
194,6.0229742316,,66667.0,Hispanic
2294,71.220117976,,73661.0,White
2759,42.961694176,70.324509913,44519.0,AIAN
62,0.9654313298,,67917.0,Asian
33,0.513858611,,,Black
237,3.6904391155,,90000.0,Hispanic
