State,group,population,life expectancy,income
Nebraska,Black,84286,74.10406267927408,34568.71371283488
Nebraska,Hispanic,192864,87.3638570782879,47879.24023664343
Nebraska,White,1088849,79.67058183874738,66263.37161626635
Nevada,AIAN,41093,79.35096866907602,43677.52507726377
Nevada,Asian,258174,85.26351459646135,65616.03663420794
Nevada,Black,270962,74.48639728467947,39719.14049940582
Nevada,Hispanic,874963,86.30941818152435,49707.44742691977
Nevada,White,1448733,77.10947420754263,63958.560815554
New Hampshire,Asian,37439,90.50328993722977,86814.34760543818
New Hampshire,Black,14937,84.3571783623759,56953.26062797081
New Hampshire,Hispanic,48050,95.36552813131621,56766.145827263266
New Hampshire,White,972987,79.4096201410614,80225.5111075482
New Jersey,Asian,887656,91.56234476276067,117674.86543886372
New Jersey,Black,1150141,76.05518932366594,52687.45933585535
New Jersey,Hispanic,1839359,85.95286251123827,55525.50132138424
New Jersey,White,4892895,79.87063239510799,92601.25476716751
New Mexico,AIAN,209795,73.32248505274715,33635.9785123573
New Mexico,Asian,27142,86.0567619943669,65862.66594208239
New Mexico,Black,30765,75.84818667962296,40362.27202990411
New Mexico,Hispanic,992600,78.94073296956988,41802.91753878702
New Mexico,White,767115,78.76397440848035,59545.830639473876
New York,AIAN,128031,130.06121526694997,41966.97157719615
New York,Asian,1727703,89.82305946666551,75003.37999123693
New York,Black,2816233,79.59131093168244,50291.33816768712
New York,Hispanic,3731455,85.59023386435256,49928.2133663678
New York,White,10284200,81.054308029863,81926.70290727523
North Carolina,AIAN,103950,74.8241893374183,40464.697720057724
North Carolina,Asian,297148,88.78975979495547,83840.19995423156
North Carolina,Black,2204142,75.54834561467464,38268.997287379854
North Carolina,Hispanic,926790,91.49927291404916,40568.435149278695
North Carolina,White,6243605,78.3351773276975,62248.53881403452
North Dakota,AIAN,25744,68.90715962750383,38353.52101460534
North Dakota,Asian,8796,83.68117116370895,63299.486130059115
North Dakota,Black,2984,87.857552638,52583.0
North Dakota,Hispanic,14836,80.66503042043738,43734.931787543814
North Dakota,White,363598,81.06075194781846,66209.60563589458
Ohio,AIAN,7362,83.42906338448138,40210.23553382233
Ohio,Asian,266192,88.53818554501271,76212.13974499611
Ohio,Black,1450838,73.64840509896477,32972.02812443567
Ohio,Hispanic,415324,88.04616290197046,43796.46587001955
Ohio,White,7888144,77.26559621678494,61425.64844949585
Oklahoma,AIAN,353415,73.42072363005396,44253.69578823762
Oklahoma,Asian,77089,84.62783730779938,57717.336701734355
Oklahoma,Black,269244,73.64109457633722,34881.21117647932
Oklahoma,Hispanic,386742,84.1484358949231,43669.73075849016
Oklahoma,White,2461336,76.2935603278604,56368.55290582026
Oregon,AIAN,65345,77.78476797402296,42587.76403703421
Oregon,Asian,192921,86.32102798453028,77558.00781148761
Oregon,Black,72473,77.40460648115028,38963.58249279042
Oregon,Hispanic,543035,85.85815684295486,49065.83472336037
Oregon,White,3025247,79.55482402030094,63261.9764670455
Pennsylvania,AIAN,15823,97.12082155794519,30884.804272261896
Pennsylvania,Asian,456188,89.37907478849614,75792.85693836752
Pennsylvania,Black,1369344,74.2519984421277,38315.519454570946
Pennsylvania,Hispanic,944866,83.38068433780907,41066.41269449848
Pennsylvania,White,8952410,78.64600018221721,67340.42273231455
Rhode Island,AIAN,8730,78.450651517,35101.0
Rhode Island,Asian,37331,88.18744093861758,74160.72293804077
Rhode Island,Black,62724,82.7386552858468,43523.94418404439
Rhode Island,Hispanic,161870,90.36824774886036,38436.40840798171
Rhode Island,White,716935,79.34068597627964,69864.71545677083
South Carolina,AIAN,2359,82.151708582,33801.0
South Carolina,Asian,80702,89.36631541247397,63038.802334514636
South Carolina,Black,1353188,74.50500312129445,34394.3820792085
South Carolina,Hispanic,268026,89.18059149862006,42598.814573959244
South Carolina,White,3238535,77.48528194509385,60470.082355756545
South Dakota,AIAN,25776,66.36321373147284,25995.90037243948
South Dakota,Asian,4751,79.429662719,69228.0
South Dakota,Black,13990,78.1752420708739,33064.569406719085
South Dakota,Hispanic,15478,86.72986883919131,42995.18451996382
South Dakota,White,272578,80.15594206198975,61654.37574565812
Tennessee,AIAN,6522,91.16015652812082,63879.38025145662
Tennessee,Asian,105721,87.7655430998063,77402.35441397641
Tennessee,Black,1107144,73.61670308679233,37661.28611093047
Tennessee,Hispanic,305144,90.52286181069218,42996.20225532863
Tennessee,White,3913443,76.7848662147027,60630.93484688547
Texas,AIAN,181096,103.65025678544288,57417.90858991916
Texas,Asian,1426090,88.43688490207546,88700.3251940621
Texas,Black,3390363,75.58970453698636,46527.30903829472
Texas,Hispanic,11149240,82.72138797914722,47496.07999513869
Texas,White,11712329,78.41549160811027,75418.08061991769
Utah,AIAN,31770,73.95441869220699,45666.570664148574
Utah,Asian,81138,83.89947673285234,70643.1691562523
Utah,Black,31377,76.24091385027766,45259.96420945278
Utah,Hispanic,432512,83.61139562038666,50193.528179564964
Utah,White,2328057,79.71273574838041,72955.7577868583
